Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Average
1959,32.6,31.6,40.5,47,57.1,70.6,71.9,73,60.4,49.6,40.6,39,51.2
1960,31.3,28.4,40.3,52.3,59.6,71,74.6,73.9,66.4,54.5,43.9,35.5,52.6
1961,36.9,39.9,40,48.2,58.9,67.7,72.9,72.5,57.5,52.8,37.9,30.3,51.3
1962,25.3,34.7,37.1,52.8,61.5,66.5,72.1,73.1,63.6,57.5,45.8,37.9,52.3
1963,23.5,40.9,41.2,51.9,62.4,69.9,77,71,68.3,60.1,44.1,33.3,53.6
1964,35.4,32,36.2,48.8,61,66.5,77,71.4,64.4,55.8,41.8,36.4,52.2
1965,38.4,32.7,30.8,52,58.5,66.5,73,70.7,55.9,57.9,45.7,38.5,51.7
1966,31.4,31.3,46.3,48.5,63.5,67.5,77.7,71.6,54.5,53.6,43.2,34.1,51.9
1967,36.6,37.9,46.4,51,55.4,62.2,73,70.6,63.8,55.6,41.5,28.2,51.9
1968,33.7,36.6,44.6,45.8,55.6,69.7,72.6,70,63.3,55.3,38.5,32.7,51.5
1969,36.3,36.6,34.7,53.9,61.3,62.2,75.3,74.3,66.2,41.8,41.8,36.4,51.7
1970,33.9,40.9,36.8,45.1,60.9,66,73.4,73.5,60.9,47.6,41.6,35.7,51.4
1971,34.8,32.9,40.2,47.9,54.5,69.1,71.5,72.2,58.9,50.7,41.2,32.9,50.6
1972,32.7,40.2,47.5,49.6,56.9,68.1,69.9,69,62,51.6,34,27.9,50.8
1973,29.2,34.8,38.9,43.1,55.9,67.8,70,72.7,59.4,54.9,39.6,35.2,50.1
1974,28.7,37.3,44,47.6,61.3,68,73.3,68.7,60.2,54.2,39.9,32.7,51.3
1975,33,32.8,39.3,44.7,54.8,64.3,72.1,71.2,60.8,55.1,39.3,38,50.5
1976,32.5,41.4,38.5,49.2,56.4,66.3,73.2,69.7,60.8,49.4,39.3,36.6,51.1
1977,28.2,39,39.5,49.5,59.6,71.2,73.7,68.6,65.5,53.8,41.6,38,50.5
1978,27.2,29.8,43.3,49.2,55.7,66.2,73.7,69.5,65,54,40.2,29.1,50.2
1979,22.6,37.4,42.6,50.1,54.7,65.9,73.8,67.9,64.9,56.1,35.1,38.9,50.8
1980,29.5,36.5,38.9,47.7,55.6,71.7,74.7,71.9,65.7,52.6,43.8,44.1,52.7
1981,29,29.3,42.2,56.7,55.1,69.1,71.7,68.7,64.5,50.7,46.2,36.9,51.7
1982,33.7,35.5,43.9,50.1,55.9,62.3,71.8,72.6,61.4,50.5,39.2,35.5,51
1983,38.1,41.8,38.7,43.5,53.1,62.6,72.4,74.8,65.4,53.7,40.5,20.7,50.4
1984,29.8,35.8,40.1,43.8,60.5,65.6,73.5,71.5,61,45.8,40.8,33.9,50.2
1985,26.8,29.5,41.6,52,59.7,68.6,72.2,72.5,59.5,50.4,31.1,31.8,49.6
1986,42.3,37.6,48.8,50.7,56.9,69.2,71.6,70.7,59.3,50.3,40.7,33.5,52.6
1987,34.3,37,39.8,52.5,59,68.6,72.7,69,61.7,52.8,41,30.8,51.6
1988,28.9,35.8,40.9,51.6,59.3,70.9,72.8,71.9,X,54.8,41.6,32.8,51
1989,36.5,24.1,44.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,NA,NA,NA,48,54.5,70,68.6,68.8,64.7,53.7,45.2,27.3,NA
1991,29.9,40.9,42.8,47.8,58.2,66.6,70.5,69.2,61.7,52.1,36.8,35.3,51
1992,35.9,40.6,43.3,54.3,59.1,62.9,68.3,66.3,64.4,54.1,34.1,29.2,51
1993,28.3,30.6,42.4,47.6,57.5,64.5,69.5,67.3,58.8,48.7,35.6,35.4,48.9
1994,35.5,31.9,43.9,47.6,60.8,70,71.2,70.9,65,50.6,36.6,36.1,51.7
1995,34.5,38.3,42.1,45.1,50.9,62.4,70.5,74,60.4,50.5,45,36.3,50.8
1996,29.7,37.7,37.9,50.4,58.9,66.9,71.5,69.5,60.8,53.1,40.6,36.5,51.1
1997,31.3,32.8,45.5,42.8,57.4,66.5,71.4,68.7,64,52.7,37.9,33.9,50.4
1998,36.5,36.4,38.7,46.5,58.8,62.1,72.8,70.7,67.1,50.4,44,32.2,51.4
