! Day# Year Month Day  MeanTemp(F) MinTemp MaxTemp  MeanTd(F) MinTd MaxTd  MeanRH MinRH MaxRH  MeanWS(mph) MaxWS  MeanPres(mb) MinPres MaxPres  Rain(inch)
  4058 2016     9  19         72.5    52.5    88.8       35.7  29.7  43.9    29.7  13.0  60.0          4.3    20           0.0 1000000.0 -1000000.0        0.00
  4059 2016     9  20         69.8    52.4    85.8       38.6  29.5  47.9    36.5  14.0  65.0          2.5    23           0.0 1000000.0 -1000000.0        0.00
  4060 2016     9  21         71.3    59.1    81.4       43.1  33.1  51.9    38.2  22.0  73.0          3.0    20           0.0 1000000.0 -1000000.0        0.00
  4061 2016     9  22         61.4    52.3    70.9       51.3  43.3  55.6    69.8  55.0  85.0          2.5    13           0.0 1000000.0 -1000000.0        0.00
  4062 2016     9  23         63.3    49.8    79.6       44.7  22.2  57.7    56.7  23.0  92.0          5.5    31           0.0 1000000.0 -1000000.0        0.00
  4063 2016     9  24         55.1    40.3    67.0       34.4  23.9  41.6    50.4  24.0  90.0          7.2    37           0.0 1000000.0 -1000000.0        0.00
  4064 2016     9  25         55.8    43.1    67.2       35.8  32.8  39.0    48.4  30.0  74.0          3.5    19           0.0 1000000.0 -1000000.0        0.00
  4065 2016     9  26         59.0    39.4    74.9       35.2  32.4  39.0    44.8  22.0  82.0          3.1    14           0.0 1000000.0 -1000000.0        0.00
  4066 2016     9  27         64.0    43.8    80.6       35.6  30.6  43.5    38.2  17.0  72.0          3.6    18           0.0 1000000.0 -1000000.0        0.00
  4067 2016     9  28         65.2    47.0    80.8       35.8  31.1  40.5    35.7  18.0  66.0          3.4    12           0.0 1000000.0 -1000000.0        0.00
  4068 2016     9  29         60.7    43.4    78.3       41.8  37.3  46.9    52.7  26.0  83.0          2.0    13           0.0 1000000.0 -1000000.0        0.00
  4069 2016     9  30         59.8    51.1    69.9       47.0  37.5  53.0    63.6  43.0  84.0          1.7    14           0.0 1000000.0 -1000000.0        0.00
  4070 2016    10   1         62.9    46.9    78.8       43.2  38.4  48.2    51.4  27.0  80.0          2.7    16           0.0 1000000.0 -1000000.0        0.00
  4071 2016    10   2         63.4    46.8    79.0       42.2  39.6  46.7    49.5  25.0  80.0          2.8    15           0.0 1000000.0 -1000000.0        0.00
  4072 2016    10   3         59.9    46.5    78.7       33.8  15.1  48.1    42.5  16.0  81.0         10.1    52           0.0 1000000.0 -1000000.0        0.00
  4073 2016    10   4         53.9    43.5    61.5       20.4  14.2  26.0    27.3  21.0  49.0          8.4    35           0.0 1000000.0 -1000000.0        0.00
  4074 2016    10   5         55.0    37.6    67.2       23.5  15.2  29.6    30.5  17.0  53.0          6.4    30           0.0 1000000.0 -1000000.0        0.00
  4075 2016    10   6         45.3    36.0    53.6       36.7  26.0  40.6    73.6  39.0  92.0          3.6    20           0.0 1000000.0 -1000000.0        0.15
  4076 2016    10   7         47.5    30.6    66.5       28.6  18.1  41.6    56.1  16.0  94.0          3.4    13           0.0 1000000.0 -1000000.0        0.01
  4077 2016    10   8         54.9    33.9    72.6       27.3  19.9  36.0    39.6  14.0  76.0          2.5    12           0.0 1000000.0 -1000000.0        0.00
  4078 2016    10   9         56.4    36.5    74.3       32.2  24.8  40.1    43.5  20.0  76.0          2.6    12           0.0 1000000.0 -1000000.0        0.00
  4079 2016    10  10         63.4    42.0    78.4       33.1  26.9  39.0    35.7  16.0  74.0          5.9    28           0.0 1000000.0 -1000000.0        0.00
  4080 2016    10  11         62.7    43.6    76.9       38.3  28.8  46.5    43.3  18.0  91.0          6.3    30           0.0 1000000.0 -1000000.0        0.03
  4081 2016    10  12         40.5    35.7    45.3       37.6  34.1  41.4    89.8  81.0  95.0          3.0    12           0.0 1000000.0 -1000000.0        0.08
  4082 2016    10  13         58.0    40.0    77.8       34.1  23.2  45.9    51.7  14.0  94.0          2.7    21           0.0 1000000.0 -1000000.0        0.00
  4083 2016    10  14         65.3    44.7    81.7       34.0  25.2  46.6    34.9  16.0  69.0          5.2    31           0.0 1000000.0 -1000000.0        0.00
